"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","AUCHAN SUPERMARCHÉ","sur place","78","CONFLANS SAINTE HONORINE","FRANCE","Commerce",""
"RGPD","PATISSERIE E.LADURÉE","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","INETUM","sur place","93","SAINT-OUEN-SUR-SEINE","FRANCE","Commerce",""
"RGPD","
GIP INNOVATION E-SANTÉ SUD
","sur place","83","HYÈRES","FRANCE","Santé ",""
"RGPD","LA BANQUE POSTALE","en ligne","75","PARIS","FRANCE","Banque",""
"RGPD","GROUPE CIC","en ligne","75","PARIS","FRANCE","Banque",""
"RGPD","BANQUE FRANÇAISE MUTUALISTE","en ligne","75","PARIS","FRANCE","Banque",""
"RGPD","GOOGLE IRELAND LIMITED","en ligne","","MONTAIN VIEW","ÉTATS-UNIS","Commerce",""
"RGPD","GOOGLE IRELAND LIMITED","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","GOOGLE IRELAND LIMITED","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","ASSOCIATION RÊVES PARTAGÉS","en ligne","78","MUREAUX","FRANCE","Associatif",""
"RGPD","ASSOCIATION RÊVES PARTAGÉS","sur pièces","78","MORAINVILLIERS","FRANCE","Associatif",""
"RGPD","YACARTER ","en ligne","94","THIAIS","FRANCE","Commerce",""
"RGPD","YACARTER","sur place","59","VILLENEUVE D'ASCQ","FRANCE","Commerce",""
"RGPD","ROUGE BORDEAUX","sur place","33","BORDEAUX","FRANCE","Commerce",""
"RGPD","leboncoin.fr","en ligne","75","PARIS","FRANCE","Commerce",""
"RGPD","francetvinfo.fr","en ligne","75","PARIS","FRANCE","Culture",""
"RGPD","sfr.fr","en ligne","75","PARIS","FRANCE","Télécommunications",""
"RGPD"," boulanger.com","en ligne","59","LESQUIN","FRANCE","Commerce",""
"RGPD","free.fr","en ligne","75","PARIS","FRANCE","Télécommunications",""
"RGPD","veepee.fr","en ligne","93","SAINT-DENIS","FRANCE","Commerce",""
"RGPD","bouyguestelecom.fr","en ligne","75","PARIS","FRANCE","Télécommunications",""
"RGPD"," auchan.fr","en ligne","59","VILLENEUVE D'ASCQ","FRANCE","Commerce",""
"RGPD"," pole-emploi.fr","en ligne","75","PARIS","FRANCE","Travail",""
